date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-08-19,76.3961,77.0947,75.9146,76.4244,5314577,5314577,-0.273785,-0.357,76.4088,"Aug 19, 15",-0.08316318083990944
2015-08-20,75.6313,75.9618,74.3285,74.3568,7240576,7240576,-2.0676,-2.705,74.9439,"Aug 20, 15",-0.10796745548642811
2015-08-21,73.7526,74.2199,72.7235,72.7235,8483304,8483304,-1.6333,-2.197,73.1869,"Aug 21, 15",-0.1275615848055223
2015-08-24,69.2587,71.8267,67.701,70.4766,12873245,12873245,-2.2469,-3.09,70.6323,"Aug 24, 15",-0.15451685889299702
2015-08-25,72.006,72.2704,69.1832,69.4098,7779000,7779000,-1.0668,-1.514,70.6186,"Aug 25, 15",-0.167314885683917
2015-08-26,71.1752,71.6567,69.8252,71.4018,6505762,6505762,1.992,2.87,70.8419,"Aug 26, 15",-0.1434175578178573
2015-08-27,71.6378,72.8653,71.298,72.5819,7024971,7024971,1.1801,1.653,72.1683,"Aug 27, 15",-0.1292603105213024
2015-08-28,72.0532,72.5158,71.685,72.3648,4919031,4919031,-0.217142,-0.299,72.165,"Aug 28, 15",-0.13186478335248797
2015-08-31,71.9966,72.9407,71.7228,72.4309,4559687,4559687,0.066089,0.091,72.4064,"Aug 31, 15",-0.13107180475211327
2015-09-01,70.6654,71.1468,69.4853,69.8629,6101059,6101059,-2.5679,-3.545,70.1785,"Sep 1, 15",-0.1618792033264313
2015-09-02,70.7504,71.0053,69.8346,70.7504,5914395,5914395,0.887451,1.27,70.4317,"Sep 2, 15",-0.15123217597646738
2015-09-03,71.1658,71.9871,70.8542,71.0525,4782965,4782965,0.30211,0.427,71.2918,"Sep 3, 15",-0.1476079878497924
2015-09-04,70.1273,70.3539,69.457,69.9385,5095246,5095246,-1.114,-1.568,69.8749,"Sep 4, 15",-0.1609722565459723
2015-09-08,71.3546,71.4962,70.7334,71.2696,6046291,6046291,1.3312,1.903,71.1082,"Sep 8, 15",-0.14500351501860684
2015-09-09,71.8267,72.2295,70.7882,70.9203,4959836,4959836,-0.349312,-0.49,71.4755,"Sep 9, 15",-0.14919394505054193
2015-09-10,70.9486,71.619,70.7882,71.0997,4764590,4764590,0.179376,0.253,71.1254,"Sep 10, 15",-0.14704174594453231
